
Epoch: 0 	Training Loss: 455.858706 	Validation Loss: 135.775951
Epoch: 1 	Training Loss: 138.851942 	Validation Loss: 98.913086
Epoch: 2 	Training Loss: 117.347308 	Validation Loss: 83.160144
Epoch: 3 	Training Loss: 112.452000 	Validation Loss: 85.729391
Epoch: 4 	Training Loss: 88.202461 	Validation Loss: 97.979042
Epoch: 5 	Training Loss: 82.492023 	Validation Loss: 81.475963
Epoch: 6 	Training Loss: 58.220947 	Validation Loss: 58.169981
Epoch: 7 	Training Loss: 55.286732 	Validation Loss: 56.341646
Epoch: 8 	Training Loss: 52.565453 	Validation Loss: 53.654042
Epoch: 9 	Training Loss: 50.026728 	Validation Loss: 57.061431
Epoch: 10 	Training Loss: 48.024652 	Validation Loss: 49.828760
Epoch: 11 	Training Loss: 45.767074 	Validation Loss: 46.423068
Epoch: 12 	Training Loss: 42.609238 	Validation Loss: 44.791417
Epoch: 13 	Training Loss: 40.377571 	Validation Loss: 42.178425
Epoch: 14 	Training Loss: 38.163690 	Validation Loss: 41.872472
Epoch: 15 	Training Loss: 35.852833 	Validation Loss: 38.414867
Epoch: 16 	Training Loss: 33.752345 	Validation Loss: 36.963435
Epoch: 17 	Training Loss: 31.426468 	Validation Loss: 36.307969
Epoch: 18 	Training Loss: 29.349349 	Validation Loss: 35.286718
Epoch: 19 	Training Loss: 27.246245 	Validation Loss: 35.380450
Epoch: 20 	Training Loss: 25.077798 	Validation Loss: 27.322170
Epoch: 21 	Training Loss: 24.743771 	Validation Loss: 29.745167
Epoch: 22 	Training Loss: 24.519259 	Validation Loss: 29.028585
Epoch: 23 	Training Loss: 24.416190 	Validation Loss: 28.817986
Epoch: 24 	Training Loss: 24.382333 	Validation Loss: 27.549610
Epoch: 25 	Training Loss: 24.389062 	Validation Loss: 26.949144
Epoch: 26 	Training Loss: 24.391977 	Validation Loss: 26.178857
