
Epoch: 0 	Training Loss: 119.038579 	Validation Loss: 107.291077
Epoch: 1 	Training Loss: 102.614483 	Validation Loss: 114.475637
Epoch: 2 	Training Loss: 97.842120 	Validation Loss: 109.623645
Epoch: 3 	Training Loss: 85.369223 	Validation Loss: 110.865721
Epoch: 4 	Training Loss: 89.901761 	Validation Loss: 130.567720
Epoch: 5 	Training Loss: 85.656432 	Validation Loss: 96.088962
Epoch: 6 	Training Loss: 89.428904 	Validation Loss: 91.584421
Epoch: 7 	Training Loss: 82.878019 	Validation Loss: 104.215479
Epoch: 8 	Training Loss: 73.233061 	Validation Loss: 96.766260
Epoch: 9 	Training Loss: 71.141747 	Validation Loss: 96.782346
Epoch: 10 	Training Loss: 69.661188 	Validation Loss: 91.861818
Epoch: 0 	Training Loss: 112.273858 	Validation Loss: 76.727784
Epoch: 1 	Training Loss: 88.071722 	Validation Loss: 73.233813
Epoch: 2 	Training Loss: 75.058198 	Validation Loss: 66.162222
Epoch: 3 	Training Loss: 72.601053 	Validation Loss: 66.273994
Epoch: 4 	Training Loss: 71.649629 	Validation Loss: 64.378579
Epoch: 5 	Training Loss: 68.009642 	Validation Loss: 66.854708
Epoch: 6 	Training Loss: 64.222189 	Validation Loss: 61.001830
Epoch: 7 	Training Loss: 63.131059 	Validation Loss: 60.810623
Epoch: 8 	Training Loss: 62.490282 	Validation Loss: 61.948333
Epoch: 9 	Training Loss: 59.959902 	Validation Loss: 55.468565
Epoch: 10 	Training Loss: 58.058721 	Validation Loss: 59.361489
Epoch: 11 	Training Loss: 56.271219 	Validation Loss: 53.408530
Epoch: 12 	Training Loss: 54.611284 	Validation Loss: 48.562047
Epoch: 13 	Training Loss: 51.205638 	Validation Loss: 47.834970
Epoch: 14 	Training Loss: 47.906456 	Validation Loss: 40.641261
Epoch: 15 	Training Loss: 44.925682 	Validation Loss: 40.201418
Epoch: 16 	Training Loss: 41.775622 	Validation Loss: 37.012064
Epoch: 17 	Training Loss: 37.782287 	Validation Loss: 35.773808
Epoch: 18 	Training Loss: 34.636933 	Validation Loss: 31.226558
Epoch: 19 	Training Loss: 31.470144 	Validation Loss: 30.731407
Epoch: 20 	Training Loss: 27.848421 	Validation Loss: 25.464543
Epoch: 21 	Training Loss: 26.206288 	Validation Loss: 22.527632
Epoch: 22 	Training Loss: 25.028075 	Validation Loss: 21.428373
Epoch: 23 	Training Loss: 24.229164 	Validation Loss: 20.213929
Epoch: 24 	Training Loss: 23.818800 	Validation Loss: 20.966057
Epoch: 25 	Training Loss: 23.791543 	Validation Loss: 19.863990
Epoch: 26 	Training Loss: 23.745406 	Validation Loss: 19.587873
