
Epoch: 0 	Training Loss: 111.288227 	Validation Loss: 88.729089
Epoch: 1 	Training Loss: 89.889959 	Validation Loss: 86.989388
Epoch: 2 	Training Loss: 86.362376 	Validation Loss: 87.374226
Epoch: 3 	Training Loss: 86.937976 	Validation Loss: 98.832426
Epoch: 4 	Training Loss: 85.081204 	Validation Loss: 85.003372
Epoch: 5 	Training Loss: 84.528798 	Validation Loss: 84.582629
Epoch: 6 	Training Loss: 84.370612 	Validation Loss: 83.917096
Epoch: 7 	Training Loss: 84.394191 	Validation Loss: 84.330396
Epoch: 8 	Training Loss: 84.259416 	Validation Loss: 84.290998
Epoch: 9 	Training Loss: 84.249114 	Validation Loss: 84.035668
Epoch: 10 	Training Loss: 86.395859 	Validation Loss: 84.742452
Epoch: 11 	Training Loss: 83.259149 	Validation Loss: 83.487118
Epoch: 12 	Training Loss: 83.182467 	Validation Loss: 83.560396
Epoch: 13 	Training Loss: 83.166123 	Validation Loss: 83.831515

Epoch: 0 	Training Loss: 120.463372 	Validation Loss: 80.017000
Epoch: 1 	Training Loss: 85.281543 	Validation Loss: 90.379002
Epoch: 2 	Training Loss: 81.516173 	Validation Loss: 70.789286
Epoch: 3 	Training Loss: 81.066385 	Validation Loss: 88.536229
Epoch: 4 	Training Loss: 81.920638 	Validation Loss: 72.710190
Epoch: 5 	Training Loss: 81.260960 	Validation Loss: 70.230788
Epoch: 6 	Training Loss: 81.923655 	Validation Loss: 132.848699
Epoch: 7 	Training Loss: 82.081211 	Validation Loss: 81.642396
Epoch: 8 	Training Loss: 83.596561 	Validation Loss: 114.590797
Epoch: 9 	Training Loss: 83.649491 	Validation Loss: 85.097044
Epoch: 10 	Training Loss: 81.663311 	Validation Loss: 76.399793
Epoch: 11 	Training Loss: 84.387178 	Validation Loss: 86.972263
Epoch: 12 	Training Loss: 87.429403 	Validation Loss: 92.085233
Epoch: 13 	Training Loss: 85.481120 	Validation Loss: 81.656493
Epoch: 14 	Training Loss: 85.033915 	Validation Loss: 77.458439
Epoch: 15 	Training Loss: 82.451994 	Validation Loss: 78.579289
Epoch: 16 	Training Loss: 83.813226 	Validation Loss: 83.932126
Epoch: 17 	Training Loss: 83.942346 	Validation Loss: 91.007821
Epoch: 18 	Training Loss: 83.126665 	Validation Loss: 77.170538
Epoch: 19 	Training Loss: 82.653687 	Validation Loss: 79.437496
Epoch: 20 	Training Loss: 84.274594 	Validation Loss: 75.657568
Epoch: 21 	Training Loss: 81.873971 	Validation Loss: 72.000974
Epoch: 22 	Training Loss: 80.530736 	Validation Loss: 75.398217
Epoch: 23 	Training Loss: 82.178367 	Validation Loss: 77.380885
