
Epoch: 0 	Training Loss: 17.385199 	Validation Loss: 15.236518
Epoch: 1 	Training Loss: 15.074866 	Validation Loss: 14.173125
Epoch: 2 	Training Loss: 14.902091 	Validation Loss: 14.489686
Epoch: 3 	Training Loss: 14.624622 	Validation Loss: 13.872588
Epoch: 4 	Training Loss: 14.363372 	Validation Loss: 13.739101
Epoch: 5 	Training Loss: 14.049077 	Validation Loss: 13.492100
Epoch: 6 	Training Loss: 13.578683 	Validation Loss: 14.606974
Epoch: 7 	Training Loss: 13.374799 	Validation Loss: 14.191207
Epoch: 8 	Training Loss: 13.060413 	Validation Loss: 13.843347
Epoch: 9 	Training Loss: 12.757688 	Validation Loss: 13.565948
Epoch: 10 	Training Loss: 12.490464 	Validation Loss: 14.072308
Epoch: 11 	Training Loss: 12.153311 	Validation Loss: 12.638815
Epoch: 12 	Training Loss: 11.887737 	Validation Loss: 13.694612
Epoch: 13 	Training Loss: 11.562800 	Validation Loss: 12.304436
Epoch: 14 	Training Loss: 11.126275 	Validation Loss: 11.474380
Epoch: 15 	Training Loss: 10.664084 	Validation Loss: 11.582150
Epoch: 16 	Training Loss: 10.183426 	Validation Loss: 11.412725
Epoch: 17 	Training Loss: 9.652685 	Validation Loss: 9.985851
Epoch: 18 	Training Loss: 9.252865 	Validation Loss: 9.363848
Epoch: 19 	Training Loss: 8.703415 	Validation Loss: 8.539489
Epoch: 20 	Training Loss: 7.997759 	Validation Loss: 7.541032
Epoch: 21 	Training Loss: 7.700521 	Validation Loss: 7.250013
Epoch: 22 	Training Loss: 7.548991 	Validation Loss: 7.155601
Epoch: 23 	Training Loss: 7.459307 	Validation Loss: 7.709337
Epoch: 24 	Training Loss: 7.435828 	Validation Loss: 7.717583
Epoch: 25 	Training Loss: 7.430776 	Validation Loss: 7.126866
Epoch: 26 	Training Loss: 7.428676 	Validation Loss: 7.255868
Epoch: 27 	Training Loss: 7.424881 	Validation Loss: 7.706257
Epoch: 28 	Training Loss: 7.416337 	Validation Loss: 7.402536
Epoch: 29 	Training Loss: 7.409966 	Validation Loss: 7.185025
Epoch: 30 	Training Loss: 7.404487 	Validation Loss: 7.238749
Epoch: 31 	Training Loss: 7.404415 	Validation Loss: 7.407847
Epoch: 32 	Training Loss: 7.404395 	Validation Loss: 7.288215
Epoch: 33 	Training Loss: 7.405257 	Validation Loss: 7.674169
Epoch: 34 	Training Loss: 7.405138 	Validation Loss: 7.544754
Epoch: 35 	Training Loss: 7.405507 	Validation Loss: 7.184031
Epoch: 36 	Training Loss: 7.404570 	Validation Loss: 7.331720
Epoch: 37 	Training Loss: 7.404515 	Validation Loss: 7.067713
Epoch: 38 	Training Loss: 7.404595 	Validation Loss: 7.085294
Epoch: 39 	Training Loss: 7.405127 	Validation Loss: 7.218754
Epoch: 40 	Training Loss: 7.405111 	Validation Loss: 7.485977
