
Epoch: 0 	Training Loss: 116.778971 	Validation Loss: 70.869005
Epoch: 1 	Training Loss: 78.314182 	Validation Loss: 71.026944
Epoch: 2 	Training Loss: 79.128471 	Validation Loss: 59.049908
Epoch: 3 	Training Loss: 71.244384 	Validation Loss: 60.325693
Epoch: 4 	Training Loss: 69.132021 	Validation Loss: 68.408014
Epoch: 5 	Training Loss: 68.463887 	Validation Loss: 75.654251
Epoch: 6 	Training Loss: 65.042040 	Validation Loss: 60.104046
Epoch: 7 	Training Loss: 64.370009 	Validation Loss: 60.663543
Epoch: 8 	Training Loss: 63.134325 	Validation Loss: 62.245486
Epoch: 9 	Training Loss: 61.515197 	Validation Loss: 53.601590
Epoch: 10 	Training Loss: 59.821704 	Validation Loss: 51.553651
Epoch: 11 	Training Loss: 58.612412 	Validation Loss: 42.411450
Epoch: 12 	Training Loss: 56.640437 	Validation Loss: 40.605644
Epoch: 13 	Training Loss: 54.819334 	Validation Loss: 45.976881
Epoch: 14 	Training Loss: 52.526038 	Validation Loss: 40.875693
Epoch: 15 	Training Loss: 49.530440 	Validation Loss: 39.318694
Epoch: 16 	Training Loss: 46.302882 	Validation Loss: 36.745974
Epoch: 17 	Training Loss: 43.414669 	Validation Loss: 35.719136
Epoch: 18 	Training Loss: 40.613361 	Validation Loss: 28.374463
Epoch: 19 	Training Loss: 37.790300 	Validation Loss: 28.696423
Epoch: 20 	Training Loss: 34.156535 	Validation Loss: 23.209429
Epoch: 21 	Training Loss: 32.302378 	Validation Loss: 26.239276
Epoch: 22 	Training Loss: 30.955912 	Validation Loss: 24.539866
Epoch: 23 	Training Loss: 29.783473 	Validation Loss: 22.560253
Epoch: 24 	Training Loss: 29.246784 	Validation Loss: 18.086964
Epoch: 25 	Training Loss: 29.173777 	Validation Loss: 22.111636
Epoch: 26 	Training Loss: 29.088639 	Validation Loss: 19.462710
Epoch: 27 	Training Loss: 28.996659 	Validation Loss: 21.700514
Epoch: 28 	Training Loss: 28.891717 	Validation Loss: 20.968231
Epoch: 29 	Training Loss: 28.805894 	Validation Loss: 15.841995
Epoch: 30 	Training Loss: 28.767082 	Validation Loss: 21.662103
Epoch: 31 	Training Loss: 28.757255 	Validation Loss: 22.677664
Epoch: 32 	Training Loss: 28.749354 	Validation Loss: 21.447874
Epoch: 33 	Training Loss: 28.748094 	Validation Loss: 20.974479
